Epoch: 168/1000 | Train Loss: 0.000855 | Time: 25.14s | LR: 7.355978596156295e-11
Epoch: 169/1000 | Train Loss: 0.000855 | Time: 24.63s | LR: 7.355978596156295e-11
Epoch: 170/1000 | Train Loss: 0.000855 | Time: 27.95s | LR: 5.884782876925037e-11
Epoch: 171/1000 | Train Loss: 0.000854 | Time: 24.4s | LR: 5.884782876925037e-11
Epoch: 172/1000 | Train Loss: 0.000855 | Time: 25.01s | LR: 4.70782630154003e-11
Epoch: 173/1000 | Train Loss: 0.000855 | Time: 25.18s | LR: 4.70782630154003e-11
Epoch: 174/1000 | Train Loss: 0.000855 | Time: 23.67s | LR: 3.7662610412320245e-11
Epoch: 175/1000 | Train Loss: 0.000855 | Time: 23.83s | LR: 3.01300883298562e-11
Epoch: 176/1000 | Train Loss: 0.000854 | Time: 23.04s | LR: 3.01300883298562e-11
Epoch: 177/1000 | Train Loss: 0.000855 | Time: 24.65s | LR: 2.410407066388496e-11
Epoch: 178/1000 | Train Loss: 0.000855 | Time: 24.7s | LR: 2.410407066388496e-11
Epoch: 179/1000 | Train Loss: 0.000855 | Time: 23.88s | LR: 2.410407066388496e-11
Epoch: 180/1000 | Train Loss: 0.000855 | Time: 23.59s | LR: 1.9283256531107968e-11
Epoch: 181/1000 | Train Loss: 0.000855 | Time: 27.06s | LR: 1.9283256531107968e-11
Epoch: 182/1000 | Train Loss: 0.000855 | Time: 27.59s | LR: 1.5426605224886375e-11
Epoch: 183/1000 | Train Loss: 0.000854 | Time: 24.38s | LR: 1.23412841799091e-11
Epoch: 184/1000 | Train Loss: 0.000855 | Time: 23.92s | LR: 9.873027343927281e-12
Epoch: 185/1000 | Train Loss: 0.000855 | Time: 24.75s | LR: 9.873027343927281e-12
Epoch: 186/1000 | Train Loss: 0.000855 | Time: 23.87s | LR: 7.898421875141825e-12
Epoch: 187/1000 | Train Loss: 0.000855 | Time: 25.39s | LR: 6.318737500113461e-12
Epoch: 188/1000 | Train Loss: 0.000855 | Time: 25.59s | LR: 6.318737500113461e-12
