nohup: ignoring input
Epoch 4/100 | Step 1300/11397 | G=26.160, D=0.555
Epoch 4/100 | Step 1400/11397 | G=26.158, D=0.555
Epoch 4/100 | Step 1500/11397 | G=26.191, D=0.556
Epoch 4/100 | Step 1600/11397 | G=26.164, D=0.555
Epoch 4/100 | Step 1700/11397 | G=26.167, D=0.555
Epoch 4/100 | Step 1800/11397 | G=26.169, D=0.555
Epoch 4/100 | Step 1900/11397 | G=26.158, D=0.555
Epoch 4/100 | Step 2000/11397 | G=26.160, D=0.554
Epoch 4/100 | Step 2100/11397 | G=26.138, D=0.554
Epoch 4/100 | Step 2200/11397 | G=26.134, D=0.554
Epoch 4/100 | Step 2300/11397 | G=26.155, D=0.554
Epoch 4/100 | Step 2400/11397 | G=26.152, D=0.554
Epoch 4/100 | Step 2500/11397 | G=26.151, D=0.554
Epoch 4/100 | Step 2600/11397 | G=26.143, D=0.554
Epoch 4/100 | Step 2700/11397 | G=26.119, D=0.554
Epoch 4/100 | Step 2800/11397 | G=26.096, D=0.554
Epoch 4/100 | Step 2900/11397 | G=26.079, D=0.555
Epoch 4/100 | Step 3000/11397 | G=26.062, D=0.554
Epoch 4/100 | Step 3100/11397 | G=26.080, D=0.555
Epoch 4/100 | Step 3200/11397 | G=26.097, D=0.554
Epoch 4/100 | Step 3300/11397 | G=26.092, D=0.554
Epoch 4/100 | Step 3400/11397 | G=26.101, D=0.554
Epoch 4/100 | Step 3500/11397 | G=26.096, D=0.554
Epoch 4/100 | Step 3600/11397 | G=26.109, D=0.554
Epoch 4/100 | Step 3700/11397 | G=26.101, D=0.553
Epoch 4/100 | Step 3800/11397 | G=26.083, D=0.553
Epoch 4/100 | Step 3900/11397 | G=26.100, D=0.553
Epoch 4/100 | Step 4000/11397 | G=26.088, D=0.553
Epoch 4/100 | Step 4100/11397 | G=26.083, D=0.554
Epoch 4/100 | Step 4200/11397 | G=26.088, D=0.553
Epoch 4/100 | Step 4300/11397 | G=26.082, D=0.553
Epoch 4/100 | Step 4400/11397 | G=26.070, D=0.553
Epoch 4/100 | Step 4500/11397 | G=26.058, D=0.553
Epoch 4/100 | Step 4600/11397 | G=26.055, D=0.553
Epoch 4/100 | Step 4700/11397 | G=26.056, D=0.553
Epoch 4/100 | Step 4800/11397 | G=26.051, D=0.553
Epoch 4/100 | Step 4900/11397 | G=26.039, D=0.553
Epoch 4/100 | Step 5000/11397 | G=26.044, D=0.553
Epoch 4/100 | Step 5100/11397 | G=26.042, D=0.553
Epoch 4/100 | Step 5200/11397 | G=26.041, D=0.553
Epoch 4/100 | Step 5300/11397 | G=26.048, D=0.553
Epoch 4/100 | Step 5400/11397 | G=26.045, D=0.553
Epoch 4/100 | Step 5500/11397 | G=26.031, D=0.553
Epoch 4/100 | Step 5600/11397 | G=26.028, D=0.553
Epoch 4/100 | Step 5700/11397 | G=26.037, D=0.553
Epoch 4/100 | Step 5800/11397 | G=26.046, D=0.553
Epoch 4/100 | Step 5900/11397 | G=26.052, D=0.553
Epoch 4/100 | Step 6000/11397 | G=26.053, D=0.553
Epoch 4/100 | Step 6100/11397 | G=26.040, D=0.553
Epoch 4/100 | Step 6200/11397 | G=26.039, D=0.553
Epoch 4/100 | Step 6300/11397 | G=26.041, D=0.553
Epoch 4/100 | Step 6400/11397 | G=26.040, D=0.553
Epoch 4/100 | Step 6500/11397 | G=26.038, D=0.553
Epoch 4/100 | Step 6600/11397 | G=26.039, D=0.553
Epoch 4/100 | Step 6700/11397 | G=26.034, D=0.553
Epoch 4/100 | Step 6800/11397 | G=26.026, D=0.553
Epoch 4/100 | Step 6900/11397 | G=26.013, D=0.553
Epoch 4/100 | Step 7000/11397 | G=26.009, D=0.553
Epoch 4/100 | Step 7100/11397 | G=26.011, D=0.553
Epoch 4/100 | Step 7200/11397 | G=26.012, D=0.553
Epoch 4/100 | Step 7300/11397 | G=26.017, D=0.553
Epoch 4/100 | Step 7400/11397 | G=26.013, D=0.553
Epoch 4/100 | Step 7500/11397 | G=26.013, D=0.553
Epoch 4/100 | Step 7600/11397 | G=26.011, D=0.553
Epoch 4/100 | Step 7700/11397 | G=26.003, D=0.553
Epoch 4/100 | Step 7800/11397 | G=25.998, D=0.553
Epoch 4/100 | Step 7900/11397 | G=25.994, D=0.553
Epoch 4/100 | Step 8000/11397 | G=25.990, D=0.553
Epoch 4/100 | Step 8100/11397 | G=25.983, D=0.553
Epoch 4/100 | Step 8200/11397 | G=25.984, D=0.553
Epoch 4/100 | Step 8300/11397 | G=25.981, D=0.553
Epoch 4/100 | Step 8400/11397 | G=25.980, D=0.553
Epoch 4/100 | Step 8500/11397 | G=25.977, D=0.553
